itemID,itemName,description,price,priceGroup,isExpensive,category,isClothesCat,isSportsCat,isElectronicsCat,isHomeCat,isHobbyCat,isBooksCat,isAccessoryCat,isFunCat,isSmartCat,isToyCat,isKitchenCat,isPersonalCat
11,Razorpit Rakbladsrengörare,Dina rakblad är inte slöa – de är smutsiga! Med hjälp av Razorpit får du bort smutset så att rakbladen blir vassare och håller mycket längre. Vad sägs om att raka dig upp till 150 gånger med samma blad? ,199,1,0,Personal,0,0,0,0,0,0,0,0,0,0,0,1
12,Yogamatta TPE 4 mm,"Ett måste för alla yogautövare. Mattan är perfekt att använda hemma, på gymmet eller när du reser. En vadderad matta som gör utmanande träning bekväm och behaglig. Består av två lager TPE-material för maximal komfort.",399,2,0,Sports,0,1,0,1,1,0,1,0,0,0,0,0
13,Mighty Mug Solo ,Muggen som inte välter – nu i mindre version! Perfekt för den som behöver exakt en kopp ovältbar kaffe.,279,2,0,Personal,0,0,0,1,0,0,1,0,1,0,1,1
14,Handduksstege,"Vit trästege för badrummet eller sovrummet. Höjd 150 cm, 29,5/38 cm.",299,2,0,Home,0,0,0,1,0,0,0,0,0,0,0,0
15,Super Retro Trio Multikonsol,"Saknar du tiden när tv-spelen var enklare, svårare och roligare? Nu kan du spela alla spel till Nintendo 8-bitar, Super Nintendo och Sega Mega Drive - på en och samma konsol.",995,3,0,Electronics,0,0,1,0,1,0,0,1,0,1,0,0
16,4D Stadspussel ,"Pussel av de coolaste storstäderna i tre lager: landskap, gator och alla byggnader! Byggnaderna placeras ut i kronologisk ordning vilket gör att du får dig en rejäl dos arkitekturhistoria på köpet!",395,2,0,Hobby,0,0,0,0,1,0,0,1,0,1,0,0
17,Klädvikaren ,"Vik dina skjortor och tröjor enkelt och snabbt med Klädvikaren. Ett vik till höger, ett vik till vänster och ett vik underifrån - sen är det klart!",99,1,0,Home,0,0,0,1,0,0,0,0,1,0,0,0
18,Polaroid ZIP Instant Fotoskrivare ,Skriv ut dina foton på ett kick direkt från din smartphone eller surfplatta med Polaroids portabla fotoskrivare. Inget bläck behövs.,1590,4,1,Hobby,0,0,1,0,1,0,0,0,0,0,0,0
19,Spakit SIGNATUR,"Spakit med doft av verbena i exklusiv presentförpackning. Boxen innehåller handkräm 75 ml, kroppslotion 300 ml och doftljus med en brinntid på cirka 25 timmar.",299,2,0,Personal,0,0,0,0,1,0,0,0,0,0,0,1
20,Välkommen till Vegoriket,"Välkommen till Vegoriket! Här härskar Mattias Kristiansson, som med humor, smidighet och utan pekpinnar guidar dig bort från animaliska produkter mot en mer vegansk livsstil. Hösten 2014 gav han ut boken Vego där han delade med sig av favoriträtter från sin egen första, lite trevande (men övertygade) tid som vegan.",214,2,0,Books,0,0,0,1,1,1,0,0,0,0,1,1
21,SpaceRail ,Det närmaste du kommer en bergochdalbana i ditt hem. Timmar av lattjolajbans för hela familjen. För byggandet av banan är i detta fallet lika viktigt som själva kulrullandet.,199,1,0,Hobby,0,0,0,0,1,0,0,1,1,1,0,1
22,Designa din egna skjorta,Välj bland ett urval av de finaste egyptiska bomullstygerna från Tessitura Monti & välj sedan alla de avslutande detaljerna.,949,3,0,Clothing,1,0,0,0,0,0,0,0,0,0,0,0
23,Tryckkokare För Mikron ,"Smaskiga långkok tar inte längre hela dagen att tillaga med den här tryckkokaren för mikron! Du kan dessutom på kort tid ångkoka grönsaker, koka pasta, ris och mycket annat i den!",249,2,0,Cooking,0,0,0,1,0,0,0,0,1,0,1,0
24,Hickies Elastiska Skosnören ,Släng dina vanliga skosnören och sätt på våra elastiska istället. Matcha färgerna med skon och få ett par riktigt snygga och sköna slip-on-skor av dina vanliga dojjor. Knyt aldrig skorna igen!,149,1,0,Sport,1,1,0,0,0,0,1,0,1,0,0,0
25,KitchPro Sous Vide Slow Cooker,"Sous vide har länge varit proffskockarnas väg till perfekt mat, men nu behöver du inte ha ett restaurangkök för att få ett lika bra resultat hemma!",999,3,0,Cooking,0,0,1,0,0,0,0,0,0,0,1,0
26,iFetch apportkanon ,"Skaffa din alldeles egna automatiska apportkanon och gör din hund överlycklig. Lägg i en boll och låt iFetch skjuta iväg den tre, sex eller nio meter.",1195,4,1,Home,0,0,1,1,1,0,0,1,1,1,0,0
27,Sojaljus HOME grönt te,"Svensktillverkade sojaljus i vacker presentförpackning med doft av grönt te. Ljusen är tillverkade av en naturlig sojavaxblandning och innehåller premiumdofter, vilket ger en bra doftspridning vid tänd låga.",129,1,0,Home,0,0,0,1,0,0,0,0,0,0,0,1
28,Autoloader Skruvmejsel ,Slipp din ilska över fel mejsel med världens smartaste skruvmejsel. Den har sex olika bits inuti sig som du med ett enkelt grepp byter mellan på under 2 sekunder!,249,2,0,Hobby,0,0,0,1,1,0,0,0,1,0,0,0
29,Raspberry Pi 2 Model B,"Raspberry Pi 2 is more nerdy - or technical - than most other media boxes we have tested, but it can also be much more than simply a media box. It is a do-it-yourself solution that you can turn into many different things. Still, it is very easy to set up and after a few minutes it will act as a complete dedicated media box, in our case with Kodi (XMBC) as the media player software.",385,2,0,Electronics,0,0,1,0,1,0,0,0,1,0,0,0
30,Titan Treadmill ST595Xforce,"Med en hastighet på upp till 20 km/t blir även den tränade löparen utmanad på löpbandet. Perfekt löpband till bl.a. intervall- och uthållighetsträning. Stor och kraftig motor som ger 2,0 hk vid pågående belastning.",6499,5,1,Sports,0,1,1,1,0,0,0,0,0,0,0,1
31,Skärsäker Kökshandske ,Med den skärsäkra handsken slipper du att putsa till fingrarna när du arbetar i köket eller scrapbookar.,139,1,0,Cooking,1,0,0,1,0,0,1,0,1,0,1,0
32,Crosley X UO Cruiser Briefcase Vinyl Record Player,En riktig trendsetterskivspelare. Portabel som på det glada 60- och 70 talet. Högtalare i locket gör den till en riktig partyhöjare. ,800,3,0,Hobby,0,0,1,0,1,0,0,0,0,1,0,0
33,Städtofflor ,Tråkigt att städa? Med dessa sweeping slippers ”slipper” du plocka fram golvmoppen. På med tofflorna och glid omkring så blir det skinande rent!,79,1,0,Home,1,0,0,1,0,0,0,1,1,0,0,0
34,KitchPro Hamburgerpress,Gör som jänkarna och kötta till det med stuffed burgers. Denna hamburgerpress hjälper dig att enkelt skapa supergoda hamburgare med olika fyllningar!,99,1,0,Cooking,0,0,0,0,0,0,0,0,1,0,1,0
35,KitchPro Helautomatisk Vinpump ,Sätt på vinpumpen på flaskan och den suger automatiskt ut rätt mängd luft. Pumpen aktiveras igen om det kommer in ny luft.,295,2,0,Electronics,0,0,1,1,0,0,0,0,1,0,1,0
36,KitchPro Mini Donut Maker,"Som ett våffeljärn fast för mini donuts! Värm upp maskinen, häll i smet, vänta några minuter och plocka sen ut perfekta minimunkar!",249,2,0,Cooking,0,0,1,0,0,0,0,0,0,1,1,0
37,Moov Now Träningsarmband,"Moov Now är träningsarmbandet som coachar dig under träningspasset, samtidigt som du får tillgång till statistik efteråt. Som att ha en personlig tränare på handleden!",799,3,0,Sport,0,1,1,0,1,0,1,0,1,0,0,1
38,Sennheiser Momentum Wireless,"The Sennheiser Momentum Wireless are a fantastic choice. They have a more straightforward function than the Parrot Zik (read: they don’t need an app to work), better sound than the Samsung Level On, and are built to last you a good long time. Yes, $500 is a lot of money, but for someone who needs an all-in-one headphone, and has the means, the Sennheiser Momentum Wireless may just be the best option currently available.",4290,5,1,Electronics,0,0,1,0,1,0,1,1,0,0,0,1
39,Sensoria Smarta Fitness-strumpor,"Det finns en uppsjö av olika plagg och armband som mäter hälsostatus. Nu kommer Sensoria Fitness Socks ett par smarta strumpor, utrustade med sensorer, som kommunicerar med ett armband.",1800,4,1,Sports,1,1,1,0,0,0,1,0,1,0,0,1
